CRN,Class Name,Time Start,Time End,Days,Date Start,Date End,Building,Room
14872,ACCT 7510,11:00 am,1:45 pm,T,"Aug 17, 2026","Dec 11, 2026",Horton-Hardgrave Hall,2018
14873,ACCT 7510,3:30 pm,6:15 pm,T,"Aug 17, 2026","Dec 11, 2026",Horton-Hardgrave Hall,2057
14874,ACCT 7510,11:00 am,1:45 pm,R,"Aug 17, 2026","Dec 11, 2026",Horton-Hardgrave Hall,2018
10457,ADED 7600,5:00 pm,7:50 pm,T,"Aug 17, 2026","Dec 11, 2026",College of Education Bldg,2116
10459,ADED 7620,5:00 pm,7:50 pm,R,"Aug 17, 2026","Dec 11, 2026",College of Education Bldg,1123
15778,AERO 2200,12:00 pm,12:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,3550
17764,AERO 3110,8:00 am,9:15 am,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,155
15780,AERO 3120,10:00 am,10:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,2510
15781,AERO 3130,12:00 pm,12:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,2550
15782,AERO 3130,12:00 pm,12:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,2550
15783,AERO 3130,12:00 pm,12:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,2550
15784,AERO 3130,12:00 pm,12:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,2550
15785,AERO 3130,12:00 pm,12:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,2550
15786,AERO 3220,3:00 pm,3:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Broun Hall,239
15787,AERO 3220,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,354
15788,AERO 3230,8:00 am,8:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,4550
15788,AERO 3230,3:00 pm,4:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,4550
15789,AERO 3310,9:00 am,9:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,255
15791,AERO 3610,8:30 am,9:15 am,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,355
15792,AERO 3970,12:00 pm,12:50 pm,W,"Aug 17, 2026","Dec 11, 2026",Shelby Center,1113
15793,AERO 3970,12:00 pm,12:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Shelby Center,1113
15794,AERO 3970,2:00 pm,2:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Shelby Center,1113
15795,AERO 4140,11:00 am,11:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Broun Hall,239
15797,AERO 4620,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,2510
15798,AERO 4620,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,2510
15799,AERO 4620,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,2510
15799,AERO 4620,9:00 am,10:50 am,W,"Aug 17, 2026","Dec 11, 2026",Shelby Center,1113
18116,AERO 4620,8:00 am,8:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Draughon Library,4129
18116,AERO 4620,12:00 pm,1:50 pm,F,"Aug 17, 2026","Dec 11, 2026",Shelby Center,1113
15800,AERO 4710,2:00 pm,4:50 pm,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,355
15801,AERO 4730,2:00 pm,4:50 pm,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,255
15802,AERO 4750,12:30 pm,3:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,155
15803,AERO 4970,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Ramsay Hall,202A
15807,AERO 5140,3:00 pm,4:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Ramsay Hall,200
15808,AERO 5210,5:00 pm,6:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,355
15809,AERO 5330,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Ramsay Hall,304B
15810,AERO 5460,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,255
15811,AERO 5630,12:00 pm,12:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,254
15811,AERO 5630,3:00 pm,4:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,358
15812,AERO 6140,3:00 pm,4:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Ramsay Hall,200
15814,AERO 6210,5:00 pm,6:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Charles E Davis Aerospace Hall,355
18130,AERO 6240,1:00 pm,1:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,4550
15815,AERO 6330,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Ramsay Hall,304B
